BIAS TYPE,Category,Geometry,Incident Date,Number of Records,OFFENSE GROUP,OFFENSE CATEGORY,Reported Offense,Neighborho,Precinct
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/8/2018,1,Society,Misdemeanor Warrant/Arrest,WARRARR-MISDEMEANOR,FIRST HILL,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/11/2018,1,Person,Assault,ASSLT-NONAGG,FIRST HILL,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/6/2018,1,Person,Assault,ASSLT-NONAGG,FIRST HILL,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/24/2018,1,Society,Disorderly Conduct,DISORDERLY CONDUCT,CENTRAL AREA/SQUIRE PARK,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/25/2018,1,Society,Threats,THREATS-OTHER,CENTRAL AREA/SQUIRE PARK,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/26/2018,1,Society,Property Damage,PROPERTY DAMAGE-RESIDENTIAL,FIRST HILL,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/21/2018,1,Society,Threats,THREATS-OTHER,JUDKINS PARK/NORTH BEACON HILL,E
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/27/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,MADISON PARK,E
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/19/2018,1,Society,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,CENTRAL AREA/SQUIRE PARK,E
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/29/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,CAPITOL HILL,E
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/1/2018,1,Society,Threats,THREATS-OTHER,CAPITOL HILL,E
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/25/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,CENTRAL AREA/SQUIRE PARK,E
Ethnicity Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/22/2018,1,Person,Assault,ASSLT-AGG-WEAPON,SANDPOINT,N
Ethnicity Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/11/2018,1,Society,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,UNIVERSITY,N
Homeless Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/5/2018,1,Property,Arson,ARSON-OTHER,UNIVERSITY,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/27/2018,1,Person,Assault,ASSLT-AGG-WEAPON,BALLARD SOUTH,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/19/2018,1,Person,Assault,ASSLT-AGG-WEAPON,BALLARD SOUTH,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/2/2018,1,Person,Assault,ASSLT-AGG-WEAPON,BALLARD SOUTH,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/30/2018,1,Person,Assault,ASSLT-NONAGG,BALLARD SOUTH,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/27/2018,1,Person,Assault,ASSLT-NONAGG,GREENWOOD,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/27/2018,1,Society,Threats,THREATS-OTHER,GREENWOOD,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/6/2018,1,Society,Harassment,MALICIOUS HARASSMENT,NORTHGATE,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/4/2018,1,Society,Threats,THREATS-OTHER,BITTERLAKE,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/30/2018,1,Person,Assault,ASSLT-AGG-DV-BODYFORCE,NORTHGATE,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/14/2018,1,Society,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,UNIVERSITY,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/7/2018,1,Burglary,Burglary,BURGLARY-NOFORCE-NONRES,UNIVERSITY,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/17/2018,1,Society,Harassment,HARASSMENT,UNIVERSITY,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/22/2018,1,Property,Theft,THEFT-SHOPLIFT,UNIVERSITY,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/15/2018,1,Society,Threats,THREATS-OTHER,UNIVERSITY,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/25/2018,1,Society,Threats,THREATS-OTHER,UNIVERSITY,N
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/25/2018,1,Society,Threats,THREATS-OTHER,UNIVERSITY,N
Multiple Categories,CRIME WITH BIAS ELEMENTS,POLYGON,10/31/2018,1,Person,Robbery,ROBBERY-BUSINESS-WEAPON,FREMONT,N
Multiple Categories,CRIME WITH BIAS ELEMENTS,POLYGON,5/23/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,NORTHGATE,N
Multiple Categories,CRIME WITH BIAS ELEMENTS,POLYGON,6/27/2018,1,Person,Assault,ASSLT-NONAGG,BITTERLAKE,N
