2012,2013,2014,2015,2018,BEAT,BIAS TYPE,Bias Category (Sheet1),Bias,2017,Placeholder,Incomplete Qtr,Conditional Formatting,2016,Row Total,"""""",Category,Definition,GO Number,Geometry,Incident Date,Mcpp,New Offense Label?,Number of Records,OFFENSE GROUP,PRECINCT,OFFENSE GROUP.,OFFENSE CATEGORY,Reported Offense,Sheet,Specific Bias Type,Table Name,Neighborho,Precinct,St Area Sh,St Length
0,0,0,0,1,E2,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-180516,POLYGON,5/19/2018,CAPITOL HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,Gay/Lesbian,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E2,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-478800,POLYGON,12/24/2018,CAPITOL HILL,N,1,Society,EAST,Society,Disturbance,DISTURBANCE-OTH,2018,Gay/Lesbian,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E2,LGBTQ Only,,Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-424719,POLYGON,11/12/2018,CAPITOL HILL,N,1,Society,EAST,Society,Harassment,HARASSMENT,2018,Lesbian,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E2,LGBTQ Only,,Heterosexual,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-351772,POLYGON,9/20/2018,CAPITOL HILL,N,1,Society,EAST,Property,Property Damage,PROPERTY DAMAGE - GRAFFITI,2018,Heterosexual,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E2,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-329393,POLYGON,9/3/2018,CAPITOL HILL,N,1,Society,EAST,Property,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,2018,Gay/Lesbian,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E2,LGBTQ Only,,Gay,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-347041,POLYGON,9/17/2018,CAPITOL HILL,N,1,Society,EAST,Society,Threats,THREATS-WEAPON,2018,Gay,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,G1,LGBTQ Only,,Gay,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-355212,POLYGON,9/22/2018,FIRST HILL,N,1,Society,EAST,Society,Threats,THREATS-OTHER,2018,Gay,2018,FIRST HILL,E,15541724.16,20459.84967
0,0,0,0,1,G3,LGBTQ Only,,Gay,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-44743,POLYGON,2/5/2018,JUDKINS PARK/NORTH BEACON HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,Gay,2018,JUDKINS PARK/NORTH BEACON HILL,E,11817820.56,17151.27119
0,0,0,0,1,C3,Multiple Categories,,"White, Political Ideology",0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-16117,POLYGON,1/13/2018,CENTRAL AREA/SQUIRE PARK,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,White/Political Ideology,2018,CENTRAL AREA/SQUIRE PARK,E,36998283.76,28582.29161
0,0,0,0,1,G3,Multiple Categories,,Other Race/Ethnicity/Ancestry,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-92498,POLYGON,3/14/2018,JUDKINS PARK/NORTH BEACON HILL,N,1,Society,EAST,Society,Harassment,HARASSMENT,2018,Other Race/Ethnicity/Ancestry,2018,JUDKINS PARK/NORTH BEACON HILL,E,11817820.56,17151.27119
0,0,0,0,1,C1,Race Only,,"White, Black",0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-190874,POLYGON,5/27/2018,CAPITOL HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,White/Black,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,C3,Race Only,,Hispanic/Latino,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-346311,POLYGON,9/16/2018,CENTRAL AREA/SQUIRE PARK,N,1,Person,EAST,Person,Robbery,ROBBERY-BUSINESS-BODYFORCE,2018,Hispanic/Latino,2018,CENTRAL AREA/SQUIRE PARK,E,36998283.76,28582.29161
0,0,0,0,1,E1,Race Only,,Asian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-470347,POLYGON,12/17/2018,CAPITOL HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,Asian/Pacific Islander,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E1,Race Only,,Black,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-478813,POLYGON,12/24/2018,CAPITOL HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,Black,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E1,Race Only,,Hispanic,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-87044,POLYGON,3/10/2018,CAPITOL HILL,N,1,Property,EAST,Property,Theft,THEFT-BUILDING,2018,Hispanic,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E2,Race Only,,Black,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-117575,POLYGON,4/3/2018,CAPITOL HILL,N,1,Person,EAST,Person,Assault,ASSLT-AGG-WEAPON,2018,Black,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E2,Race Only,,Hispanic/Latino,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-231341,POLYGON,6/24/2018,CAPITOL HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,Hispanic/Latino,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E2,Race Only,,Black,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-362283,POLYGON,9/27/2018,CAPITOL HILL,N,1,Society,EAST,Society,Harassment,HARASSMENT,2018,Black,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E3,Race Only,,White,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-137246,POLYGON,4/19/2018,FIRST HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,White,2018,FIRST HILL,E,15541724.16,20459.84967
0,0,0,0,1,E3,Race Only,,White,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-423796,POLYGON,11/12/2018,FIRST HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,White,2018,FIRST HILL,E,15541724.16,20459.84967
0,0,0,0,1,E3,Race Only,,White,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-364472,POLYGON,9/29/2018,FIRST HILL,N,1,Person,EAST,Person,Robbery,ROBBERY-STREET-BODYFORCE,2018,White,2018,FIRST HILL,E,15541724.16,20459.84967
0,0,0,0,1,E3,Race Only,,Black,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-131414,POLYGON,4/15/2018,FIRST HILL,N,1,Property,EAST,Property,Theft,THEFT OF SERVICES,2018,Black,2018,FIRST HILL,E,15541724.16,20459.84967
0,0,0,0,1,E3,Race Only,,Asian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-346139,POLYGON,9/15/2018,FIRST HILL,N,1,Society,EAST,Society,Threats,THREATS-KILL,2018,Asian/Pacific Islander,2018,FIRST HILL,E,15541724.16,20459.84967
0,0,0,0,1,E3,Race Only,,Black,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-209138,POLYGON,6/9/2018,FIRST HILL,N,1,Society,EAST,Society,Threats,THREATS-OTHER,2018,Black,2018,FIRST HILL,E,15541724.16,20459.84967
0,0,0,0,1,E3,Race Only,,"Black, White",0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-418916,POLYGON,11/8/2018,FIRST HILL,N,1,Society,EAST,Society,Misdemeanor Warrant/Arrest,WARRARR-MISDEMEANOR,2018,"Black, White",2018,FIRST HILL,E,15541724.16,20459.84967
0,0,0,0,1,G1,Race Only,,Pacific Islander,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-87464,POLYGON,3/11/2018,FIRST HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,Asian/Pacific Islander,2018,FIRST HILL,E,15541724.16,20459.84967
0,0,0,0,1,G1,Race Only,,Black,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-205243,POLYGON,6/6/2018,FIRST HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,Black,2018,FIRST HILL,E,15541724.16,20459.84967
0,0,0,0,1,G2,Race Only,,"Asian, White",0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-231435,POLYGON,6/24/2018,CENTRAL AREA/SQUIRE PARK,N,1,Society,EAST,Society,Disorderly Conduct,DISORDERLY CONDUCT,2018,"Asian/Pacific Islander, White",2018,CENTRAL AREA/SQUIRE PARK,E,36998283.76,28582.29161
0,0,0,0,1,G2,Race Only,,White,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-442689,POLYGON,11/25/2018,CENTRAL AREA/SQUIRE PARK,N,1,Society,EAST,Society,Threats,THREATS-OTHER,2018,White,2018,CENTRAL AREA/SQUIRE PARK,E,36998283.76,28582.29161
0,0,0,0,1,G2,Race Only,,Black,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-482316,POLYGON,12/26/2018,FIRST HILL,N,1,Society,EAST,Property,Property Damage,PROPERTY DAMAGE-RESIDENTIAL,2018,Black,2018,FIRST HILL,E,15541724.16,20459.84967
0,0,0,0,1,G3,Race Only,,White,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-64310,POLYGON,2/21/2018,JUDKINS PARK/NORTH BEACON HILL,N,1,Society,EAST,Society,Threats,THREATS-OTHER,2018,White,2018,JUDKINS PARK/NORTH BEACON HILL,E,11817820.56,17151.27119
0,0,0,0,1,C2,Religion Only,,Jewish,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-404785,POLYGON,10/27/2018,MADISON PARK,N,1,Society,EAST,Property,Property Damage,PROPERTY DAMAGE - GRAFFITI,2018,Jewish,2018,MADISON PARK,E,27508317.18,24974.70241
0,0,0,0,1,C3,Religion Only,,Jewish,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-405431,POLYGON,10/19/2018,CENTRAL AREA/SQUIRE PARK,N,1,Society,EAST,Property,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,2018,Jewish,2018,CENTRAL AREA/SQUIRE PARK,E,36998283.76,28582.29161
0,0,0,0,1,E1,Religion Only,,Jewish,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-365121,POLYGON,9/29/2018,CAPITOL HILL,N,1,Society,EAST,Property,Property Damage,PROPERTY DAMAGE - GRAFFITI,2018,Jewish,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E3,Religion Only,,Jewish,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-207595,POLYGON,6/1/2018,CAPITOL HILL,N,1,Society,EAST,Society,Threats,THREATS-OTHER,2018,Jewish,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,G2,Religion Only,,Jewish,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-903622,POLYGON,4/25/2018,CENTRAL AREA/SQUIRE PARK,N,1,Society,EAST,Property,Property Damage,PROPERTY DAMAGE - GRAFFITI,2018,Jewish,2018,CENTRAL AREA/SQUIRE PARK,E,36998283.76,28582.29161
0,0,0,0,1,L3,Ethnicity Only,,Other Race/Ethnicity/Ancestry,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-102658,POLYGON,3/22/2018,SANDPOINT,N,1,Person,NORTH,Person,Assault,ASSLT-AGG-WEAPON,2018,Other Race/Ethnicity/Ancestry,2018,SANDPOINT,N,175845013.3,74002.77305
0,0,0,0,1,U2,Ethnicity Only,,Other Race/Ethnicity/Ancestry,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-342119,POLYGON,9/11/2018,UNIVERSITY,N,1,Society,NORTH,Property,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,2018,Other Race/Ethnicity/Ancestry,2018,UNIVERSITY,N,53849611.47,34115.55986
